file_name,replicate,temp,rep,var,sample_day,cell_density,start_time,date,time,cell_volume,total_biovolume,keep,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VII_01_summary,24VII,24,II,variable temperature,01,1332,2017-02-18T17:04:33Z,2017-02-18,17:04:33,697.68,929309.7599999999,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VII_02_summary,24VII,24,II,variable temperature,02,1947,2017-02-18T17:09:26Z,2017-02-18,17:09:26,981.92,1911798.24,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VII_03_summary,24VII,24,II,variable temperature,03,1281,2017-02-18T17:19:10Z,2017-02-18,17:19:10,615.4,788327.4,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VII_04_summary,24VII,24,II,variable temperature,04,1488,2017-02-18T17:22:54Z,2017-02-18,17:22:54,1293.64,1924936.32,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VII_05_summary,24VII,24,II,variable temperature,05,1383,2017-02-18T17:28:08Z,2017-02-18,17:28:08,787.41,1088988.03,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VII_06_summary,24VII,24,II,variable temperature,06,1074,2017-02-18T17:36:21Z,2017-02-18,17:36:21,1120.33,1203234.42,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VIII_01_summary,24VIII,24,III,variable temperature,01,973,2017-02-18T17:06:00Z,2017-02-18,17:06:00,894.56,870406.88,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VIII_02_summary,24VIII,24,III,variable temperature,02,988,2017-02-18T17:12:01Z,2017-02-18,17:12:01,1667.02,1647015.76,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VIII_03_summary,24VIII,24,III,variable temperature,03,1178,2017-02-18T17:17:38Z,2017-02-18,17:17:38,957.71,1128182.3800000001,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VIII_04_summary,24VIII,24,III,variable temperature,04,1684,2017-02-18T17:24:23Z,2017-02-18,17:24:23,1028.83,1732549.72,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VIII_05_summary,24VIII,24,III,variable temperature,05,717,2017-02-18T17:30:58Z,2017-02-18,17:30:58,922.89,661712.13,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24VIII_06_summary,24VIII,24,III,variable temperature,06,1537,2017-02-18T17:37:53Z,2017-02-18,17:37:53,888.96,1366331.52,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CI_01_summary,30CI,30,I,constant temperature,01,872,2017-02-18T17:42:56Z,2017-02-18,17:42:56,1065.65,929246.8,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CI_02_summary,30CI,30,I,constant temperature,02,1281,2017-02-18T17:49:17Z,2017-02-18,17:49:17,780.52,999846.12,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CI_03_summary,30CI,30,I,constant temperature,03,922,2017-02-18T17:53:51Z,2017-02-18,17:53:51,949.08,875051.76,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CI_04_summary,30CI,30,I,constant temperature,04,1440,2017-02-18T17:59:42Z,2017-02-18,17:59:42,1457.37,2098612.8,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CI_05_summary,30CI,30,I,constant temperature,05,563,2017-02-18T18:04:51Z,2017-02-18,18:04:51,1234.02,694753.26,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CI_06_summary,30CI,30,I,constant temperature,06,1383,2017-02-18T19:07:07Z,2017-02-18,19:07:07,645.49,892712.67,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CII_01_summary,30CII,30,II,constant temperature,01,973,2017-02-18T17:47:44Z,2017-02-18,17:47:44,713.29,694031.1699999999,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CII_02_summary,30CII,30,II,constant temperature,02,871,2017-02-18T17:50:48Z,2017-02-18,17:50:48,3688.57,3212744.47,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CII_03_summary,30CII,30,II,constant temperature,03,512,2017-02-18T17:55:30Z,2017-02-18,17:55:30,760.25,389248.0,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CII_04_summary,30CII,30,II,constant temperature,04,885,2017-02-18T18:01:25Z,2017-02-18,18:01:25,858.43,759710.5499999999,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CII_05_summary,30CII,30,II,constant temperature,05,1332,2017-02-18T18:19:33Z,2017-02-18,18:19:33,786.47,1047578.04,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CII_06_summary,30CII,30,II,constant temperature,06,1483,2017-02-18T18:27:56Z,2017-02-18,18:27:56,1595.01,2365399.83,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CIII_01_summary,30CIII,30,III,constant temperature,01,1196,2017-02-18T17:46:15Z,2017-02-18,17:46:15,1598.4,1911686.4000000001,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
