"Lat","Lon","Biome","Hemisphere","Mean","SD"
-59.5,76.5,"marine","Southern",-0.206688,0.976551
-59.5,77.5,"marine","Southern",-0.202423,0.981141
-59.5,78.5,"marine","Southern",-0.181136,0.984285
-59.5,79.5,"marine","Southern",-0.142285,0.984589
-59.5,80.5,"marine","Southern",-0.0858702,0.98209
-59.5,81.5,"marine","Southern",-0.00406531,0.975383
-59.5,82.5,"marine","Southern",0.10313,0.96454
-59.5,83.5,"marine","Southern",0.215618,0.95609
-59.5,84.5,"marine","Southern",0.3334,0.950058
-59.5,85.5,"marine","Southern",0.424312,0.948419
-59.5,86.5,"marine","Southern",0.488355,0.95115
-59.5,87.5,"marine","Southern",0.517094,0.954567
-59.5,88.5,"marine","Southern",0.510527,0.958512
-59.5,89.5,"marine","Southern",0.489837,0.962412
-59.5,90.5,"marine","Southern",0.455022,0.966422
-59.5,91.5,"marine","Southern",0.427626,0.970465
-59.5,92.5,"marine","Southern",0.407648,0.974252
-59.5,93.5,"marine","Southern",0.394605,0.977768
-59.5,94.5,"marine","Southern",0.388496,0.980982
-59.5,95.5,"marine","Southern",0.371681,0.985711
-59.5,96.5,"marine","Southern",0.34416,0.99202
-59.5,97.5,"marine","Southern",0.322318,1.00102
-59.5,98.5,"marine","Southern",0.306153,1.01265
-59.5,99.5,"marine","Southern",0.31032,1.02514
-59.5,100.5,"marine","Southern",0.334818,1.03854
-59.5,101.5,"marine","Southern",0.376263,1.04953
-59.5,102.5,"marine","Southern",0.434655,1.05812
-59.5,103.5,"marine","Southern",0.497449,1.06335
-59.5,104.5,"marine","Southern",0.564643,1.06523
-59.5,105.5,"marine","Southern",0.627025,1.0647
-59.5,106.5,"marine","Southern",0.684595,1.06177
-59.5,107.5,"marine","Southern",0.740586,1.061
-59.5,108.5,"marine","Southern",0.794999,1.06243
-59.5,109.5,"marine","Southern",0.858199,1.06778
-59.5,110.5,"marine","Southern",0.930186,1.07708
-59.5,111.5,"marine","Southern",1.00624,1.08683
-59.5,112.5,"marine","Southern",1.08635,1.09704
-59.5,113.5,"marine","Southern",1.15959,1.10578
-59.5,114.5,"marine","Southern",1.22594,1.11307
-59.5,115.5,"marine","Southern",1.28134,1.11889
-59.5,116.5,"marine","Southern",1.32578,1.12329
-59.5,117.5,"marine","Southern",1.37272,1.12438
-59.5,118.5,"marine","Southern",1.42215,1.12237
-59.5,119.5,"marine","Southern",1.47205,1.12258
-59.5,120.5,"marine","Southern",1.52244,1.12491
-59.5,121.5,"marine","Southern",1.57448,1.13412
-59.5,122.5,"marine","Southern",1.62816,1.15018
-59.5,123.5,"marine","Southern",1.68368,1.16781
-59.5,124.5,"marine","Southern",1.74105,1.18699
-59.5,125.5,"marine","Southern",1.79743,1.20177
-59.5,126.5,"marine","Southern",1.85284,1.21225
-59.5,127.5,"marine","Southern",1.89964,1.22129
-59.5,128.5,"marine","Southern",1.93783,1.2291
-59.5,129.5,"marine","Southern",1.97282,1.23611
-59.5,130.5,"marine","Southern",2.00461,1.24204
-59.5,131.5,"marine","Southern",2.02428,1.24729
-59.5,132.5,"marine","Southern",2.03185,1.25184
-59.5,133.5,"marine","Southern",2.03208,1.25382
-59.5,134.5,"marine","Southern",2.02497,1.25319
-59.5,135.5,"marine","Southern",2.01576,1.25341
-59.5,136.5,"marine","Southern",2.00445,1.25443
-59.5,137.5,"marine","Southern",1.99121,1.25928
-59.5,138.5,"marine","Southern",1.97603,1.26791
-59.5,139.5,"marine","Southern",1.94081,1.27811
-59.5,140.5,"marine","Southern",1.88557,1.29008
-59.5,141.5,"marine","Southern",1.79851,1.29737
-59.5,142.5,"marine","Southern",1.67964,1.30003
-59.5,143.5,"marine","Southern",1.55824,1.29571
-59.5,144.5,"marine","Southern",1.43431,1.28446
-59.5,145.5,"marine","Southern",1.33737,1.26962
-59.5,146.5,"marine","Southern",1.26741,1.25137
-59.5,147.5,"marine","Southern",1.2471,1.23172
-59.5,148.5,"marine","Southern",1.27644,1.2107
-59.5,149.5,"marine","Southern",1.35893,1.19059
-59.5,150.5,"marine","Southern",1.49457,1.17148
-59.5,151.5,"marine","Southern",1.6463,1.1568
-59.5,152.5,"marine","Southern",1.8141,1.14662
-59.5,153.5,"marine","Southern",1.94705,1.14314
-59.5,154.5,"marine","Southern",2.04513,1.14612
-59.5,155.5,"marine","Southern",2.11468,1.15015
-59.5,156.5,"marine","Southern",2.15569,1.15496
-59.5,157.5,"marine","Southern",2.21949,1.15731
-59.5,158.5,"marine","Southern",2.30607,1.15711
-59.5,159.5,"marine","Southern",2.45282,1.15434
-59.5,160.5,"marine","Southern",2.65974,1.14892
-59.5,161.5,"marine","Southern",2.91703,1.1394
-59.5,162.5,"marine","Southern",3.22467,1.1258
-59.5,163.5,"marine","Southern",3.53607,1.10499
-59.5,164.5,"marine","Southern",3.8512,1.07699
-59.5,165.5,"marine","Southern",4.12894,1.04376
-59.5,166.5,"marine","Southern",4.36927,1.00538
-59.5,167.5,"marine","Southern",4.56245,0.97347
-59.5,168.5,"marine","Southern",4.70846,0.947917
-59.5,169.5,"marine","Southern",4.8074,0.936376
-59.5,170.5,"marine","Southern",4.85929,0.938851
-59.5,171.5,"marine","Southern",4.86428,0.945377
-59.5,172.5,"marine","Southern",4.8224,0.956072
-59.5,173.5,"marine","Southern",4.7565,0.962943
-59.5,174.5,"marine","Southern",4.66659,0.966043
-59.5,175.5,"marine","Southern",4.58367,0.969438
-59.5,176.5,"marine","Southern",4.50773,0.973079
-59.5,177.5,"marine","Southern",4.44196,0.978751
-59.5,178.5,"marine","Southern",4.38635,0.986392
-59.5,179.5,"marine","Southern",4.32897,0.993636
-58.5,-179.5,"marine","Southern",5.04088,1.01149
-58.5,-178.5,"marine","Southern",4.97677,1.01862
-58.5,-177.5,"marine","Southern",4.8928,1.02584
-58.5,-176.5,"marine","Southern",4.79871,1.03315
-58.5,-175.5,"marine","Southern",4.69451,1.04045
