replicate,run,a,b,w,z,sigma,isConv,finTol,logLik,AIC,BIC,deviance,df.residual
826,1204,1.2,0.033679711048558894,28.14620820129506,19.05507184034389,4156.9895968944065,TRUE,1.4901161193847656e-8,-553.761001687417,1117.522003374834,1127.7372597140068,915869812.9604809,53
827,87,0.20261513698105513,0.14358891421855566,45,8.945977009858193,2141.36833968276,TRUE,1.4901161193847656e-8,-515.9502727361648,1041.9005454723297,1052.1158018115025,243029293.4083721,53
828,1154,0.2009884159108404,0.13736124810323183,39.49453278504535,11.656393904509784,2095.418673980056,TRUE,1.4901161193847656e-8,-514.7138482316153,1039.4276964632306,1049.6429528024034,232711309.22100988,53
829,1291,0.10565726689255397,0.15853485102725923,34.69106868762716,14.14778448368495,3821.798670391952,TRUE,1.4901161193847656e-8,-548.969012269271,1107.938024538542,1118.153280877715,774125689.0815136,53
830,985,0.230047695715931,0.13172405539585436,38.431117528212496,12.177226984417294,2459.2259901318353,TRUE,1.4901161193847656e-8,-523.839165447417,1057.678330894834,1067.8935872340069,320533000.93861496,53
831,1225,0.19158575914859705,0.14220563377971893,40.65274822171562,11.120925463175883,2092.820268519756,TRUE,1.4901161193847656e-8,-514.6431220231668,1039.2862440463336,1049.5015003855065,232134523.84533653,53
832,1035,0.2590274626754996,0.12371104202416815,34.91057420896105,13.913034615074789,2289.6168124462993,TRUE,1.4901161193847656e-8,-519.7658206446516,1049.5316412893033,1059.746897628476,277844292.8353479,53
833,1255,0.2106012845511552,0.13648453954203144,39.227868867206624,11.804103729642451,2500.601020613956,TRUE,1.4901161193847656e-8,-524.7901790374984,1059.5803580749969,1069.7956144141697,331409289.6076645,53
834,1370,0.20569914275126655,0.1392215941495392,42.90868381057295,9.9480905559884,2452.501934871009,TRUE,1.4901161193847656e-8,-523.683101677131,1057.366203354262,1067.581459693435,318782584.2489403,53
835,4,0.2010496273030919,0.1434672318589634,45,8.939629351673494,2209.999930271098,TRUE,1.4901161193847656e-8,-517.7484772843519,1045.4969545687038,1055.7122109078766,258857283.66530767,53
836,1108,0.23616839384244773,0.1298206884368123,36.3931928068497,13.208436104548726,2319.4305261421982,TRUE,1.4901161193847656e-8,-520.5032421802184,1051.0064843604368,1061.2217406996097,285127172.1768145,53
837,1115,0.23014027238216642,0.13051712383775027,37.35797049012912,12.70825721721501,2247.813490515498,TRUE,1.4901161193847656e-8,-518.7155095166062,1047.4310190332124,1057.6462753723852,267791270.8716037,53
838,724,0.2725009249442075,0.1216096177447673,33.23986242522535,14.768767754030819,2054.9823445045013,TRUE,1.4901161193847656e-8,-513.6031393140688,1037.2062786281376,1047.4215349673104,223816479.11993644,53
839,865,0.22599212574254118,0.13103995557883036,36.19517475125623,13.307967888962997,2605.9113568782673,TRUE,1.4901161193847656e-8,-527.1415060949803,1064.2830121899606,1074.4982685291334,359911021.995078,53
840,1234,0.24074396254623517,0.12840341907879077,34.498892255319404,14.171819155059236,2324.153515523757,TRUE,1.4901161193847656e-8,-520.6191916214972,1051.2383832429944,1061.4536395821672,286289546.8772362,53
841,983,0.2148086447596542,0.1367056759939444,40.36290699065223,11.235722415040057,2388.207066935476,TRUE,1.4901161193847656e-8,-522.1688511810336,1054.3377023620671,1064.55295870124,302287248.71170914,53
842,1239,0.25236515854605546,0.12598402048485696,34.53488317115421,14.135697046626564,2153.1238998593444,TRUE,1.4901161193847656e-8,-516.262332260937,1042.524664521874,1052.7399208610468,245704953.9917121,53
843,637,1.0931498730276297,0.04162432748473941,27.601578808183962,19.096959287957553,3712.1409150275954,TRUE,1.4901161193847656e-8,-547.3096059424773,1104.6192118849547,1114.8344682241275,730339479.1701614,53
844,1120,0.26254878303907353,0.12137010016761653,32.938802142237634,14.897548532270102,2117.5447642180475,TRUE,1.4901161193847656e-8,-515.3125710820899,1040.6251421641798,1050.8403985033526,237651778.90876508,53
845,1177,0.23447920868651892,0.1300782075874312,35.15095215870157,13.85061129553921,2021.9809786691108,TRUE,1.4901161193847656e-8,-512.6803353595543,1035.3606707191086,1045.5759270582814,216685575.1392838,53
846,1038,0.2536742470814507,0.1263446262690906,35.1272572718674,13.839172018414898,2092.4181902837818,TRUE,1.4901161193847656e-8,-514.6321699783806,1039.2643399567612,1049.479596295934,232045335.80061418,53
847,522,0.21608428991557968,0.13480118430670485,39.6160324910037,11.587723318405537,2306.353301304215,TRUE,1.4901161193847656e-8,-520.1809600203279,1050.3619200406558,1060.5771763798286,281921074.17315316,53
848,662,0.28540004912436484,0.11767662314112476,32.692800352855,15.004442901860651,2069.7940470150684,TRUE,1.4901161193847656e-8,-514.0125048611106,1038.0250097222213,1048.240266061394,227054512.04412785,53
849,377,0.2558250096784319,0.1250822223633497,34.46039752655994,14.16523635666622,2245.794443698362,TRUE,1.4901161193847656e-8,-518.6642875684495,1047.328575136899,1057.5438314760718,267310412.21736106,53
850,1236,0.24081296615154896,0.1278553236816992,35.078753594368514,13.86207854180085,2005.919974009619,TRUE,1.4901161193847656e-8,-512.225765037037,1034.451530074074,1044.6667864132469,213256891.93292978,53
851,1234,0.22984626688730048,0.12995620457992976,36.05773145465948,13.368237962795392,2081.1002443152324,TRUE,1.4901161193847656e-8,-514.3230185936388,1038.6460371872777,1048.8612935264505,229541846.02511272,53
852,734,0.27460468177395086,0.11914796635230478,32.85111266201968,14.926631816990605,1902.837403640978,TRUE,1.4901161193847656e-8,-509.21863582244606,1028.437271644892,1038.6525279840648,191901879.78884232,53
853,404,0.32025209418859674,0.1118310214870966,30.02024321980377,16.34936221150914,2323.231558795404,TRUE,1.4901161193847656e-8,-520.5965760932527,1051.1931521865054,1061.4084085256782,286062458.41649485,53
